situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,codIBGEmunicipio,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,emailContatoRegular,emailContatoFretamento,tipoOutorgaRodoviario,tipoOutorgaSemiurbano,tipoOutorgaFretamento,dataAutorizacaoRodoviario,dataVigenciaRodoviario,dataAutorizacaoSemiurbano,dataVigenciaSemiurbano,dataAutorizacaoFretamento,dataVigenciaFretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia
ativa,nacional,37.098.480/0001-85,UTB - UNIÃO TRANSPORTE BRASÍLIA LTDA.,SIA Trecho 6 - nº lote 160 - Zona Industrial (Guará),,530010.0,BRASILIA,DF,71205060.0,(61) 3233-2505,450,não,sim,não,na     ,mariana@utb.com.br,,na,na,na,42370.0,42704.0,40883.0,42704.0,,,6,16,0,0,0,0,33,0,235,33,235,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,43.004.159/0001-97,EXPRESSO ADAMANTINA LTDA.,RUA WASHINGTON LUIZ - Nº 368,,351440.0,DRACENA,SP,17900000.0,,24,não,sim,não,na     ,joao.batista@expressoadamantina.com.br,,AUTORIZAÇÃO,na,na,43378.0,42704.0,37440.0,42704.0,,,3,1,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,45.101.334/0001-90,VIAÇÃO SÃO RAPHAEL LTDA,"RODOVIA SP-425, KM 184, S/NR. - JARDIM YOLANDA",,354980.0,SAO JOSE DO RIO PRETO,SP,15061500.0,(17) 2136-2900,12,não,sim,não,na     ,financeiro@viacaosaoraphael.com.br,,AUTORIZAÇÃO JUDICIAL,AUTORIZAÇÃO JUDICIAL,na,43187.0,42704.0,43187.0,42704.0,,,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,45.605.755/0001-58,AUTO VIAÇÃO BRAGANÇA LTDA.,Logradouro: PRINCESA DO SULNúmero: 90Bairro: JARDIM ANDERE,,317070.0,VARGINHA,MG,37026080.0,(11) 3959-5000,64,não,sim,não,na     ,ana@danubioazul.com.br,,AUTORIZAÇÃO,na,na,42370.0,42704.0,43279.0,42704.0,,,4,1,0,0,0,0,33,0,3,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,45.992.724/0001-05,RAPIDO LUXO CAMPINAS LTDA,ROD. REGIS BITTENCOURT Nº 1.300 JD M.ALE,,355280.0,TABOAO DA SERRA,SP,67680000.0,(11) 3652-8555,206,não,sim,não,351191,lilian.gomes@rapidocampinas.com.br,amanda.monteiro@rapidocampinas.com.br,na,na,AUTORIZAÇÃO,,,27530.0,42704.0,42468.0,,0,1,130,0,0,0,14,0,0,0,0,14,0,0,32,0,0,1340,0,0,0,0,0,0,43556
ativa,nacional,75.914.523/0001-42,E. G. TRANSPORTES COLETIVOS EIRELI,Avenida República Argentina - nº 4356 - Jd São Paulo,,410830.0,FOZ DO IGUACU,PR,85856378.0,4535212121,2,não,sim,não,na     ,cristiane.camargo@viacaoitaipu.com.br,,na,na,na,,,31681.0,42704.0,,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,76.544.501/0001-09,EXPRESSO SÃO BENTO LTDA.,ROD BR-116 PINHEIRINHO,,410690.0,CURITIBA,PR,81690400.0,(41)36278200,10,não,sim,não,na     ,sidnei@expressosaobento.com.br,,AUTORIZAÇÃO,na,na,42576.0,42704.0,42370.0,42704.0,,,4,1,0,0,0,0,7,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,77.758.308/0001-25,VIAÇÃO CIDADE VERDE LTDA,"AVENIDA TANCREDO NEVES, 3375",,410830.0,FOZ DO IGUACU,PR,85867633.0,(45) 3523-1727,11,não,sim,não,na     ,antt@viacaocidadeverde.com.br;,,na,na,na,,,27716.0,42704.0,,,0,0,0,0,2,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,80.858.053/0001-87,VIACAO SANTA CLARA LTDA.,"Rua João Cleto Mourão, 400",,421010.0,MAFRA,SC,89300000.0,(47) 3642-2880,42,não,sim,não,na     ,melissa@transpiedade.com.br,,na,na,na,,,27722.0,42704.0,,,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,81.159.857/0001-50,EMPRESA PRINCESA DO NORTE S/A,Logradouro: 24 DE MAIONúmero: 253 ABairro: VILA CLARO,,412410.0,SANTO ANTONIO DA PLATINA,PR,86430000.0,(43) 3534-8434,213,não,sim,não,412166,pnantt@princesadonorte.com.br,pnantt@princesadonorte.com.br,na,na,AUTORIZAÇÃO,27526.0,42704.0,26550.0,42704.0,42936.0,,25,1,288,0,0,0,97,0,8,91,8,48,0,0,84,0,0,3401,0,0,0,0,0,0,43556
ativa,nacional,81.187.718/0001-30,CELESTE TRANSPORTES LTDA.,Rodovia BR-116 KM 108 - nº 19941 - Pinheirinho,,410690.0,CURITIBA,PR,81690400.0,(41) 3212-2661,14,não,sim,não,na     ,angela@pluma.com.br,,na,na,na,,,27716.0,42704.0,,,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
