situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,codIBGEmunicipio,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,emailContatoRegular,emailContatoFretamento,tipoOutorgaRodoviario,tipoOutorgaSemiurbano,tipoOutorgaFretamento,dataAutorizacaoRodoviario,dataVigenciaRodoviario,dataAutorizacaoSemiurbano,dataVigenciaSemiurbano,dataAutorizacaoFretamento,dataVigenciaFretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia,Coluna1,Coluna2,Coluna3,Coluna4
ativa,nacional,23324693000173,A P S - TRANSPORTADORA E LOCADORA LTDA-ME,RUA 66 S/N QD 19 LT 09 PARK INDUSTRIAL,RIALMA,521860,RIALMA,GO,76310000,62-3323-1627,0,não,não,sim,52.9743,,"belodespachante@gmail.com,transpereirarma@hotmail.com",na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42615,NULL,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,8348422000164,A. ALVES TRANSPORTE E TURISMO,"RUA JOSÉ VENINO PEIXOTO, 19, FUNDOS.",CENTRO,410780,FLORAI,PR,87185000,44-3242-1991,35,não,não,sim,41.7038,,transgugatur@yahoo.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42173,42904,0,0,118,0,0,2,5,0,0,0,0,5,0,0,83,0,0,4077,0,0,2,0,0,33,42705,,,,
ativa,nacional,73500696000199,A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME,"RUA CARLOS FRANKE, N º295 SALA 01",HAMMARSTRON,431020,IJUI,RS,98700000,55-3332-1505,22,não,não,sim,43.3677,,atendimento@brisasdosul.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42663,NULL,0,0,47,0,0,21,8,0,0,0,0,8,0,0,34,0,0,1180,0,0,9,0,0,242,42705,,,,
ativa,nacional,18870897000170,A. C. ZAMPIERI - ME,"RUA JOÃO GONÇALVES PADILHA , 280",CENTRO,411960,PITANGA,PR,85200000,42-99676000,8,não,não,sim,41.8889,,zampieritransporteturismo@hotmail.com; azampieri@ig.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42303,NULL,0,0,10,0,0,0,1,0,0,0,0,1,0,0,7,0,0,331,0,0,0,0,0,0,42705,,,,
ativa,nacional,8860991000194,A. CANDIDO & CIA LTDA (EXPRESSO NACIONAL DE LUXO),RUA TRANQUILINO COELHO DE LEMOS Nº 201,,250400,CAMPINA GRANDE,PB,58100000,(83) 341-2102,10,sim,não,não,na     ,nacional2001@terra.com.br,,na,na,na,24078,42704,NULL,NULL,NULL,NULL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,22547838000132,A. E. J TRANSPORTE LTDA - ME,"RUA JOSÉ WALTRICK VIEIRA, 333",CARAVAGIO,420930,LAGES,SC,88509420,49-3225-3480,4,não,não,sim,42.8896,,aejtransporte@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42303,NULL,0,0,65,0,0,0,4,0,0,0,0,4,0,0,45,0,0,1013,0,0,0,0,0,0,42705,,,,
ativa,nacional,18896458000136,A. F. HONORATO - ME,"AV. C, Nº 143",SETOR RODOVIÁRIO,170210,ARAGUAINA,TO,77818640,63-34145011,7,não,não,sim,17.8914,,falone.to@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42303,NULL,0,0,43,0,0,0,4,0,0,0,0,4,0,0,27,0,0,1229,0,0,0,0,0,0,42705,,,,
ativa,nacional,5504664000101,A. F. VIAGENS LTDA - ME,"RUA ALAGOAS, 924",AIMORÉ,430100,ARROIO DO MEIO,RS,95940000,51-051 3716-4066,6,não,não,sim,43.8549,,transportesaf@yahoo.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42622,NULL,0,0,21,0,0,1,3,0,0,0,0,3,0,0,12,0,0,377,0,0,0,0,0,0,42705,,,,
ativa,nacional,8807068000199,A. INICIAL TRANSPORTE DE PASSAGEIROS E SERVIÇOS LTDA - ME,"AVENIDA CAMPOS ELISEOS, 147",JARDIM ALVORADA,354990,SAO JOSÉ DOS CAMPOS,SP,12240530,12-991125381,0,não,não,sim,35.9662,,a.inicialtransportes@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42587,NULL,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,5287756000187,A. L. CUNHA TRANSPORTES LTDA,AV SAO JUDAS 151,SAO JUDAS,430160,BAGÉ,RS,96418001,53-3241-4005--3242-4022,22,não,não,sim,43.2402,,alctur@brturbo.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42446,NULL,0,0,117,0,0,18,4,0,0,0,0,4,0,0,80,0,0,2049,0,0,11,0,0,373,42705,,,,
ativa,nacional,4151727000120,A. MELHORIM COSTA TURISMO - ME,"AV. PELOTAS, 219",BARCELONA,320500,SERRA,ES,29167370,27-3341-2585-3241-8431,45,não,não,sim,32.0811,,melhorimturismo@melhorimturismo.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42030,42761,0,0,291,0,0,1,5,0,0,0,0,5,0,0,222,0,0,8881,0,0,1,0,0,56,42705,,,,
ativa,nacional,3182929000177,A. R. O. TRANSPORTES E TURISMO LTDA,"RUA DR. WALDOMIRO GRAEFF, 2150",CENTRO,431265,NAO-ME-TOQUE,RS,99470000,54-3332-2100,13,não,não,sim,43.2531,,pawiturismo@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42207,42938,0,0,17,0,0,1,1,1,0,0,0,2,0,0,12,0,0,304,0,0,0,0,0,0,42705,,,,
ativa,nacional,98103757000105,A. SHEUERMANN & CIA LTDA - EPP,AV. JOSE DE ALENCAR,WEBERS,432190,TRES PASSOS,RS,98600000,55-35221167,1,não,não,sim,43.9534,,ledurtransportes@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42562,NULL,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,10817746000146,A. T. PACHECO AGÊNCIA DE VIAGENS E TURISMO LTDA ME,"RUA GAL. LIBERATO BITENCOURT, 1885 SALA 510",ESTREITO,420540,FLORIANOPOLIS,SC,88070800,48-30281777,36,não,não,sim,42.7444,,atendimento@vipclass.tur.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42508,NULL,0,0,59,0,0,2,2,0,0,0,0,2,0,0,43,0,0,1395,0,0,2,0,0,55,42705,,,,
ativa,nacional,7175842000123,A.A. FELICIANO DE FREITAS & CIA LTDA - ME,RUA PONTA PORÃ 1060,IPÊ,500375,ELDORADO,MS,79970000,67-3473-1797,20,não,não,sim,50.6466,,brunaturturismo@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42488,NULL,0,0,13,0,0,0,1,0,0,0,0,1,0,0,6,0,0,197,0,0,0,0,0,0,42705,,,,
ativa,nacional,17881387000135,A.A.I. TRANSPORTE E TURISMO LTDA-ME,"RUA SÃO SALVADOR, 1320",NOVO SARANDI,412770,TOLEDO,PR,85927000,45-32731101,13,não,não,sim,41.8067,,previattur@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42362,NULL,0,0,20,0,0,1,1,0,0,0,0,1,0,0,14,0,0,539,0,0,1,0,0,54,42705,,,,
ativa,nacional,21145838000143,A.C.Z PEREIRA - TRANSPORTES - EIRELI - ME,RUA SÃO ROMÃO Nº 173 CASA 148,SANTA TEREZINHA,410765,FAZENDA RIO GRANDE,PR,83829070,41-30702200,2,não,não,sim,41.9585,,fazendenseturismo@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42569,NULL,0,0,12,0,0,0,0,1,0,0,0,1,0,0,5,0,0,45,0,0,0,0,0,0,42705,,,,
ativa,nacional,9005652000193,A.F.T TRANSPORTES DE TURISMO LTDA ME,"RUA DOUTOR JORGE ANDRADE, Nº 13",ÁGUAS CLARAS,292740,SALVADOR,BA,41310260,71-3395-0478--3238-9800,40,não,não,sim,29.5778,,afttransporte@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42030,42761,0,0,110,0,0,0,1,0,0,0,0,1,0,0,73,0,0,1833,0,0,0,0,0,0,42705,,,,
ativa,nacional,10687831000137,A.G. LOCADORA DA MONTANHA DE VEÍCULOS LTDA,"RUA CARLOS EKMAN, 199",VILA EKMAN,350970,CAMPOS DO JORDAO,SP,12460000,12-36643563,1,não,não,sim,35.9925,,wanderley.r3is@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42663,NULL,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,2538968000100,A.J LOCAÇÕES DE VEICULOS LTDA - EPP,"RUA JOSÉ TOMASI, 1457",SANTA FELICIDADE,410690,CURITIBA,PR,82015630,41-84040725,1,não,não,sim,41.9901,,ajvans@outlook.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42663,NULL,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,11487926000170,A.J. VIDOTTI & CIA LTDA,"RUA SENADOR SOUZA NAVES, Nº 355",CENTRO,412600,SAO SEBASTIAO DA AMOREIRA,PR,86240000,43-32651284,6,não,não,sim,41.7558,,vidottitur@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42030,42761,0,0,1,0,0,0,2,1,0,0,0,3,0,0,1,0,0,18,0,0,0,0,0,0,42705,,,,
ativa,nacional,3567329000127,A.J.S TUR TURISMO LTDA - ME,"AV. JOSÉ BONIFÁCIO, 301, LOJA 04.",CENTRO,431220,MAXIMILIANO DE ALMEIDA,RS,99890000,54-33971185,3,não,não,sim,43.1406,,ajstur@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42373,NULL,0,0,7,0,0,1,4,0,0,0,0,4,0,0,4,0,0,102,0,0,1,0,0,33,42705,,,,
ativa,nacional,21715187000180,A.M.T. TRANSPORTES LTDA - ME,"RUA CEL. CECÍLIO ROCHA,61 CENTRO",JACAREZINHO,411180,JACAREZINHO,PR,86400000,43-3525-2857,4,não,não,sim,41.9417,,trans.tiburcio@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42508,NULL,0,0,10,0,0,0,0,2,0,0,0,2,0,0,8,0,0,120,0,0,0,0,0,0,42705,,,,
ativa,nacional,8475237000130,A.P. DUARTE & CIA LTDA - ME,"AV:RIO BRANCO,91",VILA OLIVEIRA,431720,SANTA ROSA,RS,98900000,55-5535111796,22,não,não,sim,43.8185,,reservas@parktur.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42328,NULL,0,0,67,0,0,30,3,1,0,0,0,4,0,0,51,0,0,1574,0,0,20,0,0,484,42705,,,,
ativa,nacional,6025302000109,A.R. TRANSPORTE FRETAMENTOS E LOCAÇÃO DE VEICULOS LTDA - ME,"RUA DR. ARMANDO COSTA MAGALHAES, 301",SANTO ANTONIO,355620,VALINHOS,SP,13270490,19-3871-4243,4,não,não,sim,35.9942,,artransportes@yahoo.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42663,NULL,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,7640090000124,A.R. TROLEIS & CIA LTDA-ME,"RUA SANTOS DUMONT, Nº 445",JARDIM PROGESSO,412040,PRESIDENTE CASTELO BRANCO,PR,87180000,44-3250-1653,4,não,não,sim,41.974,,arytroleis@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42615,NULL,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,18596829000164,A.S. BEHLING TRANSPORTES EIRELI - ME,RUA NOVA FRIBURGO 221,SÃO LUIZ,431990,SAPIRANGA,RS,93800000,51-3064-1421,5,não,não,sim,43.8246,,contato@aleturismo.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42405,NULL,0,0,3,0,0,42,2,0,0,0,0,2,0,0,1,0,0,28,0,0,17,0,0,417,42705,,,,
ativa,nacional,57705097000155,A.S. TRANSPORTES LTDA,"RUA SÃO QUIRINO, 209",VILA GUILHERME,355030,SAO PAULO,SP,2056070,11-2902.8888,94,não,não,sim,35.2242,,monica@astur.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42395,NULL,0,0,443,0,0,0,22,0,0,0,0,22,0,0,320,0,0,8876,0,0,0,0,0,0,42705,,,,
ativa,nacional,4710170000110,A.S. XAVIER DA SILVA FRETAMENTO EIRELI-ME,"RUA JOSÉ BARBOSA, 28",VILA MOREIRA,351880,GUARULHOS,SP,7021100,11-3433-2097,12,não,não,sim,35.8638,,xavier.fretamentos@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41997,42728,0,0,77,0,0,0,3,1,0,0,0,4,0,0,51,0,0,1282,0,0,0,0,0,0,42705,,,,
ativa,nacional,10611098000177,A.S.A TURISMO LTDA. - ME,"RUA OSVALDO CRUZ,11 LJ. D",MURIAE,314390,MURIAÉ,MG,36880000,32-99983-3430,3,não,não,sim,31.9792,,schinaiderlocadora@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42622,NULL,0,0,10,0,0,0,0,2,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,42705,,,,
ativa,nacional,82342510000101,A.S.S. TURISMO LTDA - ME,"RUA ESTANISLAU SELENKO, 199",UMBARÁ,410690,CURITIBA,PR,81940230,41-413348-2727,119,não,não,sim,41.014,,ass@assturismo.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42405,NULL,0,0,227,0,0,21,8,0,0,0,0,8,0,0,179,0,0,7981,0,0,14,0,0,388,42705,,,,
ativa,nacional,3919510000155,A.V.K. TRANSPORTES RODOVIARIOS INTERMUNICIPAIS LTDA - ME,"RUA CASTRO ALVEZ, Nº 111",CENTRO,410420,CAMPO LARGO,PR,83601620,41-3393-3426,1,não,não,sim,41.9874,,andreapinheiroassessoria@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42649,NULL,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,11115924000150,A.Z.L. TRANSPORTADORA TURISTICA LTDA,"R.DA REPUBLICA,631",PQ. PRESIDENTE1,410830,FOZ DO IGUAÇU,PR,85863400,45-3526-0204,29,não,não,sim,41.6834,,azlturismo@hotmail.com; leonardo@eclipsetur.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42156,42887,0,0,4,0,0,0,3,0,0,0,0,3,0,0,4,0,0,134,0,0,0,0,0,0,42705,,,,
ativa,nacional,5566642000176,A3 TRANSPORTES LTDA - ME,"RUA JOÃO ALVES DE PAIVA,579",CENTRO,315160,PLANURA,MG,38220000,34-99978-1401,1,não,não,sim,31.9446,,a3transportes@outlook.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42510,NULL,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,19747432000199,A4S TRANSPORTE LTDA-ME,CEARÁ 669,CRISTO REDENTOR,314800,PATOS DE MINAS,MG,38700219,34-38214150,2,não,não,sim,31.8723,,a4stransportes@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42030,42761,0,0,22,0,0,0,2,0,0,0,0,2,0,0,14,0,0,653,0,0,0,0,0,0,42705,,,,
ativa,nacional,18087315000183,AAVA SOLUÇÕES E TRANSPORTE LTDA - ME,"RUA PIAUÍ, 141",TODOS OS SANTOS,330455,RIO DE JANEIRO,RJ,20770130,21-31293266,5,não,não,sim,33.8831,,aavatransporte@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42207,42938,0,0,85,0,0,0,2,0,0,0,0,2,0,0,62,0,0,1737,0,0,0,0,0,0,42705,,,,
ativa,nacional,23820240000138,AB TRANSPORTE DE PASSAGEIROS LTDA-ME,"RUA FELICINHO GIACHERO, Nº 255",SAN GENARO,316470,SAO SEBASTIAO DO PARAISO,MG,37950000,35-99816-4511,3,não,não,sim,31.935,,janainamarisouza@hotmail.com; betoguardinha@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42468,NULL,0,0,17,0,0,0,1,0,0,0,0,1,0,0,11,0,0,502,0,0,0,0,0,0,42705,,,,
ativa,nacional,14073554000123,ABATTI & FERNANDES DE OLIVEIRA VIAGENS E TURISMO LTDA ME,"AV. BARÃO DO RIO BRANCO, Nº 326 - SL 02",CENTRO,420900,JOAÇABA,SC,89600000,49-3521-2630,10,não,não,sim,42.7328,,contato@classeviagemeturismo.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42510,NULL,0,0,69,0,0,1,3,0,0,0,0,3,0,0,52,0,0,1341,0,0,0,0,0,0,42705,,,,
ativa,nacional,7293334000140,ABBATUR TRANSPORTE TURISMO E LOCAÇÃO LTDA-ME,"RUA JOSÉ ZGODA,325",BAIRRO ALTO,410690,CURITIBA,PR,82820440,41-3363-7070,27,não,não,sim,41.8005,,abbatur@abbatur.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42278,NULL,0,0,191,0,0,0,3,4,0,0,0,7,0,0,138,0,0,3891,0,0,0,0,0,0,42705,,,,
ativa,nacional,16866393000150,ABEL CABRAL DE MELO - ME,"RUA JOÃO RIBEIRO ROSA, 23",NOSSA SENHORA DE FÁTIMA,313440,ITURAMA,MG,38280000,34-9112-0365,10,não,não,sim,31.771,,pedroalvesgarcia@bol.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41997,42728,0,0,20,0,0,3,1,0,0,0,0,1,0,0,13,0,0,300,0,0,3,0,0,83,42705,,,,
ativa,nacional,6374378000131,ABELAZERI AGÊNCIA DE VIAGENS E TURISMO LTDA - ME,"AV. JORGE ELIAS DE LUCCA, 120",NOSSA SENHORA DA SALETE,420460,CRICIUMA,SC,88813390,48-3462-6003,23,não,não,sim,42.3848,,turismo@abelazeri.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42173,42904,0,0,165,0,0,35,4,0,0,0,0,4,0,0,115,0,0,2480,0,0,26,0,0,742,42705,,,,
ativa,nacional,21762768000172,ABENÇOADOS TOUR TURISMO LTDA - ME,"AV. ANTONIO MARCOS DA COSTA, Nº 0, LOTE 39",BOM PASTOR,330045,BELFORD ROXO,RJ,26110070,22-2567-5495,1,não,não,sim,33.9041,,antonioluiza90@yahoo.com.br; andrea@agadelha.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42328,NULL,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,10706046000184,AC TRANSPORTE E TURISMO LTDA,"RUA JOSÉ BEZERRA, 05 A",NOVO SÃO GONÇALLO,241200,SAO GONÇALO DO AMARANTE,RN,59290000,84-988395663,19,não,não,sim,24.6841,,anacarlasantos.2010@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42173,42904,0,0,36,0,0,0,4,0,0,0,0,4,0,0,23,0,0,1018,0,0,0,0,0,0,42705,,,,
ativa,nacional,4205633000197,AC TRANSPORTES E SERVIÇOS LTDA - EPP,"RUA ABILIO PERES DA SILVA,78",SAO BERNARDO,310620,BELO HORIZONTE,MG,31741430,31-3491-1419,46,não,não,sim,31.3418,,actur@actur.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42622,NULL,0,0,150,0,0,0,14,0,0,0,0,14,0,0,99,0,0,3208,0,0,0,0,0,0,42705,,,,
ativa,nacional,5388223000191,AC VIAGENS E TURISMO LTDA-ME,"RUA AFONSO PIOTTO, 295, CASA 01",CIDADE INDUSTRIAL,410690,CURITIBA,PR,81280440,41-3022-8935--9800-1427,23,não,não,sim,41.6525,,santaclaracwb@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42698,NULL,0,0,101,0,0,0,3,0,0,0,0,3,0,0,78,0,0,2999,0,0,0,0,0,0,42705,,,,
